Location,Status of Medicaid Expansion Decision,Adoption year,Restricted
Alabama,Not Adopted,,
Alaska,Adopted,2016,
Arizona,Adopted,2014,Yes
Arkansas,Adopted,2014,Yes
California,Adopted,2014,
Colorado,Adopted,2014,
Connecticut,Adopted,2014,
Delaware,Adopted,2014,
District of Columbia,Adopted,2014,
Florida,Not Adopted,,
Georgia,Not Adopted,,
Hawaii,Adopted,2014,
Idaho,Adopted,2014,
Illinois,Adopted,2014,Yes
Indiana,Adopted,2015,
Iowa,Adopted,2014,Yes
Kansas,Not Adopted,,
Kentucky,Adopted,2014,
Louisiana,Adopted,2017,
Maine,Adopted,2019,
Maryland,Adopted,2014,
Massachusetts,Adopted,2014,Yes
Michigan,Adopted,2014,
Minnesota,Adopted,2014,
Mississippi,Not Adopted,,
Missouri,Adopted,2014,
Montana,Adopted,2016,
Nebraska,Adopted,2014,
Nevada,Adopted,2014,
New Hampshire,Adopted,2014,
New Jersey,Adopted,2014,
New Mexico,Adopted,2014,
New York,Adopted,2014,
North Carolina,Adopted,2014,
North Dakota,Adopted,2014,
Ohio,Adopted,2014,
Oklahoma,Adopted,2014,Yes
Oregon,Adopted,2014,
Pennsylvania,Adopted,2015,
Rhode Island,Adopted,2014,Yes
South Carolina,Not Adopted,,
South Dakota,Adopted,2014,
Tennessee,Not Adopted,,
Texas,Not Adopted,,
Utah,Adopted,2014,
Vermont,Adopted,2014,
Virginia,Adopted,2019,
Washington,Adopted,2014,
West Virginia,Adopted,2014,
Wisconsin,Not Adopted,,
Wyoming,Not Adopted,,
