mod,basis,sample,est,payer,toc,outcome,event_time,att,se
1,allages,all_cohorts,dr,mdcd,AM,spend_per_bene,-6,108.415335597285,56.9424886967017
1,allages,all_cohorts,dr,mdcd,AM,spend_per_bene,-5,-130.159196834679,199.732603961749
1,allages,all_cohorts,dr,mdcd,AM,spend_per_bene,-4,81.5374520839212,184.722138304653
1,allages,all_cohorts,dr,mdcd,AM,spend_per_bene,-3,21.894410907726,104.676763126714
1,allages,all_cohorts,dr,mdcd,AM,spend_per_bene,-2,125.913780532274,90.5913647958716
1,allages,all_cohorts,dr,mdcd,AM,spend_per_bene,-1,27.1009128735275,63.3241728750479
1,allages,all_cohorts,dr,mdcd,AM,spend_per_bene,0,130.164029731471,67.6100128004917
1,allages,all_cohorts,dr,mdcd,AM,spend_per_bene,1,165.956663750212,78.9780280907883
1,allages,all_cohorts,dr,mdcd,AM,spend_per_bene,2,152.449002001423,79.5794950021287
1,allages,all_cohorts,dr,mdcd,AM,spend_per_bene,3,77.397057317361,84.5833944848046
1,allages,all_cohorts,dr,mdcd,AM,spend_per_bene,4,115.799583170016,106.065840826345
2,allages,all_cohorts,dr,mdcd,AM,spend_per_capita,-6,0.972102237875975,7.24983897123749
2,allages,all_cohorts,dr,mdcd,AM,spend_per_capita,-5,-5.58327429040728,24.8317118453239
2,allages,all_cohorts,dr,mdcd,AM,spend_per_capita,-4,14.7857722775408,20.8033312083368
2,allages,all_cohorts,dr,mdcd,AM,spend_per_capita,-3,-0.182449969893412,13.65960798512
2,allages,all_cohorts,dr,mdcd,AM,spend_per_capita,-2,10.0714861048786,8.89316072040929
2,allages,all_cohorts,dr,mdcd,AM,spend_per_capita,-1,21.0250161688746,8.29754806415965
2,allages,all_cohorts,dr,mdcd,AM,spend_per_capita,0,86.4824203023082,13.1450456339844
2,allages,all_cohorts,dr,mdcd,AM,spend_per_capita,1,130.49184643544,17.2043587412976
2,allages,all_cohorts,dr,mdcd,AM,spend_per_capita,2,142.01785217746,19.1943320137288
2,allages,all_cohorts,dr,mdcd,AM,spend_per_capita,3,133.830541307525,17.9866705831492
2,allages,all_cohorts,dr,mdcd,AM,spend_per_capita,4,141.764189063651,24.232442481208
3,allages,all_cohorts,dr,mdcd,AM,spend_per_vol,-6,1.9443634971373,1.98513133596995
3,allages,all_cohorts,dr,mdcd,AM,spend_per_vol,-5,14.7053021216283,7.21085072621239
3,allages,all_cohorts,dr,mdcd,AM,spend_per_vol,-4,9.05541932307669,5.55649616054549
3,allages,all_cohorts,dr,mdcd,AM,spend_per_vol,-3,0.164557764758805,1.9867973932693
3,allages,all_cohorts,dr,mdcd,AM,spend_per_vol,-2,1.24151599999183,2.57107159639625
3,allages,all_cohorts,dr,mdcd,AM,spend_per_vol,-1,-1.34966925552035,2.41220645911263
3,allages,all_cohorts,dr,mdcd,AM,spend_per_vol,0,3.58958370133878,3.77379514020269
3,allages,all_cohorts,dr,mdcd,AM,spend_per_vol,1,4.6005746933588,4.35440316706322
3,allages,all_cohorts,dr,mdcd,AM,spend_per_vol,2,8.67345496035543,4.14336237603246
3,allages,all_cohorts,dr,mdcd,AM,spend_per_vol,3,16.6302905424847,4.41146320413922
3,allages,all_cohorts,dr,mdcd,AM,spend_per_vol,4,20.8289587201755,5.63141140039898
4,allages,all_cohorts,dr,mdcd,AM,vol_per_bene,-6,104.672785151958,272.954505921747
4,allages,all_cohorts,dr,mdcd,AM,vol_per_bene,-5,-1258.75416177039,631.13503935286
4,allages,all_cohorts,dr,mdcd,AM,vol_per_bene,-4,-28.7219333549508,1015.12247692185
4,allages,all_cohorts,dr,mdcd,AM,vol_per_bene,-3,345.52024905925,557.26759824765
4,allages,all_cohorts,dr,mdcd,AM,vol_per_bene,-2,671.685489491727,541.503911672606
4,allages,all_cohorts,dr,mdcd,AM,vol_per_bene,-1,166.282312481709,351.391229569059
4,allages,all_cohorts,dr,mdcd,AM,vol_per_bene,0,470.567017311211,560.168732099403
4,allages,all_cohorts,dr,mdcd,AM,vol_per_bene,1,634.177923609725,524.264939242247
4,allages,all_cohorts,dr,mdcd,AM,vol_per_bene,2,313.483600080747,609.766491455105
4,allages,all_cohorts,dr,mdcd,AM,vol_per_bene,3,-496.317022253056,520.985723606242
4,allages,all_cohorts,dr,mdcd,AM,vol_per_bene,4,-495.007792162087,684.664324341816
5,allages,all_cohorts,dr,mdcd,AM,vol_per_capita,-6,-101.049617572186,41.653149316865
5,allages,all_cohorts,dr,mdcd,AM,vol_per_capita,-5,-166.037682850078,90.9405679252525
5,allages,all_cohorts,dr,mdcd,AM,vol_per_capita,-4,32.7820136661979,118.581952715109
5,allages,all_cohorts,dr,mdcd,AM,vol_per_capita,-3,25.3655132266206,64.6571815752912
5,allages,all_cohorts,dr,mdcd,AM,vol_per_capita,-2,52.0132471152118,60.2762144246059
5,allages,all_cohorts,dr,mdcd,AM,vol_per_capita,-1,103.784051690072,53.3595328640955
5,allages,all_cohorts,dr,mdcd,AM,vol_per_capita,0,357.340263703862,67.7929623278528
5,allages,all_cohorts,dr,mdcd,AM,vol_per_capita,1,551.716721455985,92.2552972340368
5,allages,all_cohorts,dr,mdcd,AM,vol_per_capita,2,536.181229968197,96.1404510830333
5,allages,all_cohorts,dr,mdcd,AM,vol_per_capita,3,436.313412169539,106.887312692558
5,allages,all_cohorts,dr,mdcd,AM,vol_per_capita,4,395.500208899144,131.315216933297
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,-6,1.62339419804095,1.20191812608791
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,-5,-0.63286142810984,5.3685959119172
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,-4,1.99461298193317,3.17344859129588
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,-3,-0.62949395479349,1.91201326526808
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,-2,4.28421026621747,2.21592709798912
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,-1,0.579349348194863,2.05156876329626
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,0,3.87007514118122,1.78239504187665
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,1,4.77325196359711,2.73658709344473
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,2,4.85505004578791,3.03735313828929
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,3,2.63896190237833,2.74349764640322
6,allages,all_cohorts,dr,mdcd,ED,spend_per_bene,4,4.40415914186698,3.91250547363474
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-6,-0.281342652586851,0.150440978929386
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-5,0.292357362319966,1.2947522391953
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-4,0.193373365331757,0.471199126695082
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-3,-0.142293886075494,0.365144234106648
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-2,0.432882194561803,0.21775595037454
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,-1,0.594776686849775,0.277489502408875
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,0,2.38127278353942,0.396685615065563
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,1,3.62121258412454,0.55554643261118
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,2,4.09655820305483,0.651117409037083
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,3,3.7591381185222,0.615050913090349
7,allages,all_cohorts,dr,mdcd,ED,spend_per_capita,4,4.0504783152398,0.831185051400365
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-6,-0.739385759956613,0.656199033579924
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-5,3.77050391625396,3.28256114337484
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-4,1.29159358741711,2.53147238242103
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-3,1.39461577721203,0.865783487346857
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-2,1.91197482345558,1.38662818475611
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,-1,0.782113569026293,1.82855174772439
8,allages,all_cohorts,dr,mdcd,ED,spend_per_vol,0,5.11921171098655,4.28617165943098
