mod,payer,toc,outcome,spec,sample,event_time,att,se,lower,upper,period,overall_att,overall_se,n_na_cells,pretrend_p
1,mdcd,AM,spend_per_bene_mean,main,all_cohorts,-6,73.7085386566973,67.5421545105155,-58.674084183913,206.091161497308,Pre,-70.5378195345563,113.403362156282,0,0
1,mdcd,AM,spend_per_bene_mean,main,all_cohorts,-5,-124.617654636573,221.161068788753,-558.093349462528,308.858040189382,Pre,-70.5378195345563,113.403362156282,0,0
1,mdcd,AM,spend_per_bene_mean,main,all_cohorts,-4,103.600603619714,176.734089921519,-242.798212626463,449.999419865891,Pre,-70.5378195345563,113.403362156282,0,0
1,mdcd,AM,spend_per_bene_mean,main,all_cohorts,-3,36.4673564830303,142.394972749034,-242.626790105076,315.561503071137,Pre,-70.5378195345563,113.403362156282,0,0
1,mdcd,AM,spend_per_bene_mean,main,all_cohorts,-2,218.247150006611,119.64622914701,-16.2594591215292,452.753759134751,Pre,-70.5378195345563,113.403362156282,0,0
1,mdcd,AM,spend_per_bene_mean,main,all_cohorts,-1,-20.0176552108728,81.9899793765154,-180.718014788843,140.682704367097,Pre,-70.5378195345563,113.403362156282,0,0
1,mdcd,AM,spend_per_bene_mean,main,all_cohorts,0,-2.5405253524153,118.174509802576,-234.162564565464,229.081513860633,Post,-70.5378195345563,113.403362156282,0,0
1,mdcd,AM,spend_per_bene_mean,main,all_cohorts,1,4.90091610861681,113.522902439914,-217.603972673615,227.405804890849,Post,-70.5378195345563,113.403362156282,0,0
1,mdcd,AM,spend_per_bene_mean,main,all_cohorts,2,-89.9286162919762,152.482863877931,-388.795029492721,208.937796908768,Post,-70.5378195345563,113.403362156282,0,0
1,mdcd,AM,spend_per_bene_mean,main,all_cohorts,3,-171.20948822306,127.887603432287,-421.869190950342,79.4502145042226,Post,-70.5378195345563,113.403362156282,0,0
1,mdcd,AM,spend_per_bene_mean,main,all_cohorts,4,-117.339080800634,129.610900406116,-371.376445596621,136.698283995354,Post,-70.5378195345563,113.403362156282,0,0
2,mdcd,AM,spend_per_bene_mean,main,c2014,-3,129.725906103708,124.129396011049,-113.567710077948,373.019522285364,Pre,-70.4802316351645,131.931380462076,0,0.62249
2,mdcd,AM,spend_per_bene_mean,main,c2014,-2,-4.70010474609614,112.141310114383,-224.497072570287,215.096863078095,Pre,-70.4802316351645,131.931380462076,0,0.62249
2,mdcd,AM,spend_per_bene_mean,main,c2014,-1,-64.1987349917791,159.607933910461,-377.030285456283,248.632815472725,Pre,-70.4802316351645,131.931380462076,0,0.62249
2,mdcd,AM,spend_per_bene_mean,main,c2014,0,98.9179131562943,123.591890948358,-143.322193102486,341.158019415075,Post,-70.4802316351645,131.931380462076,0,0.62249
2,mdcd,AM,spend_per_bene_mean,main,c2014,1,-35.469264825183,125.278350451593,-281.014831710305,210.076302059939,Post,-70.4802316351645,131.931380462076,0,0.62249
2,mdcd,AM,spend_per_bene_mean,main,c2014,2,-109.720391793692,183.488189629957,-469.357243468408,249.916459881023,Post,-70.4802316351645,131.931380462076,0,0.62249
2,mdcd,AM,spend_per_bene_mean,main,c2014,3,-188.790333912608,148.70947028633,-480.260895673814,102.680227848598,Post,-70.4802316351645,131.931380462076,0,0.62249
2,mdcd,AM,spend_per_bene_mean,main,c2014,4,-117.339080800634,133.326374028488,-378.658773896471,143.980612295204,Post,-70.4802316351645,131.931380462076,0,0.62249
3,mdcd,AM,spend_per_bene_mean,sens,all_cohorts,-6,117.796033726696,57.7892280939833,4.52914666248897,231.062920790904,Pre,66.7803554636573,70.8851654296333,0,0
3,mdcd,AM,spend_per_bene_mean,sens,all_cohorts,-5,-116.633423939907,209.177958950389,-526.62222348267,293.355375602856,Pre,66.7803554636573,70.8851654296333,0,0
3,mdcd,AM,spend_per_bene_mean,sens,all_cohorts,-4,83.5474856684852,214.975737446229,-337.804959726124,504.899931063095,Pre,66.7803554636573,70.8851654296333,0,0
3,mdcd,AM,spend_per_bene_mean,sens,all_cohorts,-3,21.6013015415442,104.238586225992,-182.706327461399,225.908930544488,Pre,66.7803554636573,70.8851654296333,0,0
3,mdcd,AM,spend_per_bene_mean,sens,all_cohorts,-2,129.83304709124,97.4353808942239,-61.1402994614392,320.806393643918,Pre,66.7803554636573,70.8851654296333,0,0
