payer,toc,outcome,spec,sample,overall_att,overall_se,n_na_cells,pretrend_p
mdcd,AM,spend_per_bene_mean,main,all_cohorts,-70.5378195345563,113.403362156282,0,0
mdcd,AM,spend_per_bene_mean,main,c2014,-70.4802316351645,131.931380462076,0,0.62249
mdcd,AM,spend_per_bene_mean,sens,all_cohorts,66.7803554636573,70.8851654296333,0,0
mdcd,AM,spend_per_bene_mean,sens,c2014,111.485494107183,82.4965188967685,0,0.87738
mdcd,AM,spend_per_capita_mean,main,all_cohorts,90.3401863821437,22.4014164942608,0,0
mdcd,AM,spend_per_capita_mean,main,c2014,83.0814019449961,27.1846159104873,0,0.81128
mdcd,AM,spend_per_capita_mean,sens,all_cohorts,125.117526700565,18.7277271725778,0,0
mdcd,AM,spend_per_capita_mean,sens,c2014,127.282002491075,18.8203463164777,0,0.66084
mdcd,AM,spend_per_vol_mean,main,all_cohorts,7.46999393550934,3.54076930365366,0,0
mdcd,AM,spend_per_vol_mean,main,c2014,8.77370944578277,3.90839056993247,0,0.00098
mdcd,AM,spend_per_vol_mean,sens,all_cohorts,5.08095015427932,2.00192602909322,0,0
mdcd,AM,spend_per_vol_mean,sens,c2014,6.47097911716261,2.03324060324373,0,0.41774
mdcd,AM,vol_per_bene_mean,main,all_cohorts,-530.847926723359,745.965470224173,0,0
mdcd,AM,vol_per_bene_mean,main,c2014,-565.698059290657,925.410496831226,0,0.49762
mdcd,AM,vol_per_bene_mean,sens,all_cohorts,75.3848468759503,483.542804014722,0,0
mdcd,AM,vol_per_bene_mean,sens,c2014,320.884048211272,587.835454796014,0,0.66304
mdcd,AM,vol_per_capita_mean,main,all_cohorts,289.72530459966,157.14370814925,0,0
mdcd,AM,vol_per_capita_mean,main,c2014,240.465481604043,182.143027988322,0,0.59408
mdcd,AM,vol_per_capita_mean,sens,all_cohorts,463.984780459997,94.2959605752861,0,0
mdcd,AM,vol_per_capita_mean,sens,c2014,469.844468197254,109.788636716504,0,0.69958
mdcd,ED,spend_per_bene_mean,main,all_cohorts,-3.80485476311028,3.49502371792323,0,0
mdcd,ED,spend_per_bene_mean,main,c2014,-3.98875273186842,4.43963708407991,0,0.52206
mdcd,ED,spend_per_bene_mean,sens,all_cohorts,1.79231177402003,2.78088107790123,0,0
mdcd,ED,spend_per_bene_mean,sens,c2014,3.34117083053456,4.13124467861746,0,0.6292
mdcd,ED,spend_per_capita_mean,main,all_cohorts,2.00399756513367,0.778491166981005,0,0
mdcd,ED,spend_per_capita_mean,main,c2014,1.71813331146146,0.968645290045512,0,0.81771
mdcd,ED,spend_per_capita_mean,sens,all_cohorts,3.33628192107344,0.569103338166287,0,0
mdcd,ED,spend_per_capita_mean,sens,c2014,3.42170864734984,0.621869889396569,0,0.54072
mdcd,ED,spend_per_vol_mean,main,all_cohorts,3.40677611421366,1.44867182733823,0,0
mdcd,ED,spend_per_vol_mean,main,c2014,3.71093672452157,1.54028350108175,0,0.00137
mdcd,ED,spend_per_vol_mean,sens,all_cohorts,0.94128863748449,1.5549440061045,0,0
mdcd,ED,spend_per_vol_mean,sens,c2014,0.524714000798469,1.70081181798719,0,0.03833
mdcd,ED,vol_per_bene_mean,main,all_cohorts,-74.5955701696143,64.1147104582474,0,0
