payer,toc,outcome,pct,pct_se,p,q,pre_p
mdcd,AM,spend_per_capita,23.6116191974685,5.79519887245149,4.61447300288232e-05,0.00118438140407313,0.76801
mdcd,ED,spend_per_capita,21.7041504054279,8.07091643074579,0.00716276953240558,0.110306650799046,0.53483
mdcd,IP,spend_per_capita,22.5033684168729,4.47699621381629,4.99659663250083e-07,3.84737940702564e-05,0.60162
mdcd,NF,spend_per_capita,2.04656349729699,6.92575729566744,0.767611707902982,0.916516357625646,0.23128
mdcd,RX,spend_per_capita,11.0880182202389,12.8328074715465,0.387567661604268,0.831867265555022,0.46513
mdcd,Total,spend_per_capita,17.9661386507066,3.85960928216572,3.24120296082744e-06,0.000124786313991856,0.41926
mdcr,AM,spend_per_capita,-0.870171882021131,1.17293261276352,0.458161782643045,0.854621730093727,0.22616
mdcr,ED,spend_per_capita,2.89196989034928,4.89865306166658,0.554949175385537,0.854621730093727,0.93643
mdcr,IP,spend_per_capita,0.546828720849645,1.35328927156579,0.686158460217297,0.91093450752986,0.26134
mdcr,NF,spend_per_capita,3.0430525938927,5.6032642990674,0.587070812709257,0.874435731651768,0.11981
mdcr,RX,spend_per_capita,0.827465414112849,2.93053449602752,0.777667563073053,0.916516357625646,0.59409
mdcr,Total,spend_per_capita,0.370961719722172,1.33837694473957,0.78164740438618,0.916516357625646,0.79387
oop,AM,spend_per_capita,-5.44648033272957,10.1222333946633,0.590528026570025,0.874435731651768,0.00022
oop,ED,spend_per_capita,-7.8029158642887,12.7656330353142,0.541038096339056,0.854621730093727,0.00013
oop,IP,spend_per_capita,-8.79681998508142,13.9530077627087,0.528393350916094,0.854621730093727,0.00378
oop,NF,spend_per_capita,1.31036299630194,5.10665441197897,0.797488259232705,0.916516357625646,0.00709
oop,RX,spend_per_capita,-8.44035201107617,13.222437967608,0.523255285122593,0.854621730093727,0.03347
oop,Total,spend_per_capita,-4.84686376489516,7.75908759807952,0.532188130727763,0.854621730093727,6e-05
priv,AM,spend_per_capita,2.07341788716627,2.39558594193471,0.386755655127052,0.831867265555022,0.09552
priv,ED,spend_per_capita,-0.209924325356788,1.85896042030623,0.910089495705551,0.953136678870296,0.13347
priv,IP,spend_per_capita,1.15972820741708,3.41508965422095,0.734165770467869,0.916516357625646,0.26507
priv,NF,spend_per_capita,4.55982579274513,7.15962372589807,0.524202589465786,0.854621730093727,0.26971
priv,RX,spend_per_capita,0.765841171169612,5.20173165276908,0.88295196601652,0.944268074767667,0.02379
priv,Total,spend_per_capita,1.65091101656514,2.37249156114356,0.48651940321825,0.854621730093727,0.07199
mdcd,AM,vol_per_capita,15.5374747682075,7.70417470291917,0.0437205190990253,0.480925710089278,0.57033
mdcd,ED,vol_per_capita,7.69045664452107,6.17851682638933,0.213238668420659,0.781875117542416,0.68662
mdcd,IP,vol_per_capita,21.2256897627216,5.97439703744687,0.000381190032745313,0.00733790813034728,0.33241
mdcd,NF,vol_per_capita,4.50526129317315,7.43143628899157,0.544352950461606,0.854621730093727,0.25276
mdcd,RX,vol_per_capita,0.407086624004791,15.8036733359849,0.979449574214176,0.992337068611731,0.29797
mdcr,AM,vol_per_capita,-0.223752130582364,1.33155679371848,0.866553390287577,0.944268074767667,0.58883
mdcr,ED,vol_per_capita,0.331815787036548,3.14601569391085,0.916001483589635,0.953136678870296,0.69755
mdcr,IP,vol_per_capita,0.0719360428406021,1.19978915069906,0.952189693058642,0.977581418206872,0.08187
mdcr,NF,vol_per_capita,1.46206028876012,4.69979347764331,0.755731954675601,0.916516357625646,0.07152
mdcr,RX,vol_per_capita,-0.674956877160029,2.43058333622658,0.781247750654282,0.916516357625646,0.0187
